виробник;модель;кількість;ціна;опис;тип;img;код
Atlant;XM 4307-078;1;10 900,00 ?;Тип холодильника Двухкамерный Охлаждение холодильной камеры Статическое Охлаждение морозильной камеры Статическое Высота-178 см Общий объем (полезный) 234 л Тип компрессора-Обычный ;Холодильник;"{""img/refrigerator/XM 4307-078/364178-0.jpg"",""img/refrigerator/XM 4307-078/364178-1.jpg"",""img/refrigerator/XM 4307-078/364178-2.jpg""}";364178
Whirlpool;W5811EOX;1;10 600,00 ?;      Тип холодильника      двокамерний     Морозильна камера      нижнє розташування     Система розморожування      автоматичне (крапельне)     Загальнокорисний обєм      339 л;Холодильник;{img/refrigerator/W5811EOX/756489-0.jpg,img/refrigerator/W5811EOX/756489-1.jpg,img/refrigerator/W5811EOX/756489-2.jpg,img/refrigerator/W5811EOX/756489-3.jpg,img/refrigerator/W5811EOX/756489-4.jpg,img/refrigerator/W5811EOX/756489-5.jpg,img/refrigerator/W5811EOX/756489-6.jpg};756489
