виробник;модель;кількість;ціна;опис;img;тип;код
Microsoft;Surface Laptop 3;1;30 000,00 ?;"Microsoft Surface Laptop 3 - 13.5"" - Core i5 1035G7 - 8 GB RAM - 256 GB SSD (V4C-00022) Matte Black 1,20 ГГц с ускорением Turbo Boost до 3,70 ГГц 13,5 дюйма Genuine Microsoft Windows 10 Home 64-bit IEEE 802.11 ax Bluetooth® версии 5.0 Intel Iris Plus Graphics";"{""img/notebook/Surface Laptop 3/356827-0.jpg"",""img/notebook/Surface Laptop 3/356827-1.jpg"",""img/notebook/Surface Laptop 3/356827-2.jpg"",""img/notebook/Surface Laptop 3/356827-3.jpg"",""img/notebook/Surface Laptop 3/356827-4.jpg""}";Ноутбук;356827
Lenovo;IdeaPad S145;1;8 000,00 ?;"15.6"" (1920x1080) TN+film / Intel Pentium Gold 5405U (2.3 ГГц) / RAM 4 ГБ / SSD 128 ГБ / nVidia GeForce MX110, 2 ГБ / Bluetooth , Wi-Fi / Без ОС (freeDOS, Linux) / Без ОД / 1.85 кг";"{""img/notebook/IdeaPad S145/912674-0.jpg"",""img/notebook/IdeaPad S145/912674-1.jpg"",""img/notebook/IdeaPad S145/912674-2.jpg"",""img/notebook/IdeaPad S145/912674-3.jpg"",""img/notebook/IdeaPad S145/912674-4.jpg"",""img/notebook/IdeaPad S145/912674-5.jpg"",""img/notebook/IdeaPad S145/912674-6.jpg"",""img/notebook/IdeaPad S145/912674-7.jpg"",""img/notebook/IdeaPad S145/912674-8.jpg""}";Ноутбук;912674
